,Image,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise
55,8585,False,False,False,False,False,False,False
56,9973,False,False,False,False,False,False,False
57,952,False,False,False,False,False,False,False
58,1691,False,False,False,False,False,False,False
59,9152,False,False,False,False,False,False,False
60,4600,False,False,False,False,False,False,False
61,1953,False,False,False,False,True,False,False
62,8192,False,False,False,False,False,False,False
63,3678,False,False,False,False,False,False,False
64,8678,False,False,False,False,False,False,False
65,8354,False,False,False,False,False,False,False
66,2680,False,False,False,False,False,False,False
67,3668,False,False,False,True,False,False,False
68,6355,False,False,False,False,False,False,False
69,6027,False,False,False,False,False,False,False
70,9712,False,False,False,False,False,False,False
71,651,False,False,False,False,False,False,False
72,1512,False,False,False,False,False,False,False
73,6489,False,False,False,False,False,False,False
74,95,False,False,False,False,False,False,False
75,8950,False,False,False,False,False,True,False
76,4403,False,False,False,True,False,False,False
77,932,False,False,False,False,False,False,False
78,6336,False,False,False,False,False,False,False
79,7952,False,False,False,False,False,False,False
80,7281,False,False,False,False,False,False,False
81,10633,False,False,False,False,False,False,False
82,5235,False,False,False,False,False,False,False
83,5642,False,False,False,False,False,False,False
84,5636,False,False,False,False,False,False,False
85,8532,False,False,False,False,False,False,False
86,8171,False,False,False,False,False,False,False
87,7678,False,False,False,False,False,False,False
88,7695,False,False,False,False,False,False,False
89,1578,False,False,False,False,False,True,False
90,1350,False,False,False,False,False,False,False
91,10090,False,False,False,False,False,False,True
92,4083,False,False,False,True,False,False,False
93,1413,False,False,False,False,False,False,False
94,9779,False,False,False,False,False,False,False
95,9885,False,False,False,False,False,False,False
96,360,False,False,False,False,False,False,False
97,35,False,False,False,False,False,False,False
98,3461,False,False,False,False,False,False,False
99,5514,False,False,False,False,False,False,False
100,4217,False,False,False,False,False,False,False
101,4102,False,False,False,False,False,False,True
102,8744,False,False,False,False,False,False,False
103,2858,False,False,False,False,False,False,False
104,8718,False,False,False,False,False,False,False
105,3859,False,False,False,False,False,False,False
106,8566,False,False,False,False,False,False,False
107,2085,False,False,False,False,False,False,False
108,5824,False,False,False,False,True,False,False
109,5702,False,False,False,False,False,False,False
110,2337,False,False,False,False,False,False,False
111,2271,False,False,False,False,False,False,False
112,3013,True,False,False,True,False,False,False
113,3031,False,False,False,False,False,False,False
114,8798,False,False,False,False,False,False,False
115,673,False,False,False,False,False,False,False
116,6867,False,False,False,False,False,False,False
117,9114,False,False,False,False,False,False,False
118,10700,False,False,False,False,False,False,False
119,10697,False,False,False,False,False,False,False
120,3717,False,False,False,False,False,False,False
121,1562,False,False,False,False,False,False,False
122,9544,False,False,False,False,False,False,False
123,3160,False,False,False,True,False,False,False
124,9301,False,False,False,False,False,False,False
125,1084,False,False,False,False,True,False,False
126,4220,False,False,False,True,False,False,False
127,6134,False,False,False,False,False,False,False
128,6167,False,False,False,False,False,False,False
129,2473,False,False,False,False,False,True,False
130,2676,False,False,True,False,False,False,False
131,9582,False,False,False,False,False,False,False
132,2406,False,False,False,False,False,False,True
133,251,False,False,False,False,False,False,False
134,6025,False,False,False,False,False,False,False
135,518,False,False,False,False,False,False,False
136,4823,False,False,False,False,False,False,False
137,7914,False,False,False,False,False,False,False
138,1470,False,False,False,False,False,False,False
139,4549,False,False,False,True,False,False,False
140,927,False,False,False,True,False,False,False
141,8695,False,False,False,False,False,False,False
142,4870,False,False,False,True,False,False,False
143,3883,False,False,False,True,False,False,False
144,4122,False,False,False,True,False,False,False
145,7116,False,False,False,False,False,False,False
146,8696,False,False,False,False,False,False,False
147,2995,False,False,False,False,False,False,False
148,4614,False,False,False,False,False,False,False
149,1516,False,False,False,False,False,False,False
150,1805,False,False,False,False,False,False,False
151,4808,False,False,False,False,False,False,False
152,9325,False,False,False,False,False,False,False
153,1791,False,False,False,False,False,False,False
154,10317,False,False,False,False,False,False,False
155,3651,False,False,False,False,False,False,False
156,9417,False,False,False,False,False,False,False
157,1833,False,False,False,False,False,False,False
158,9890,False,False,False,False,False,False,False
159,3784,False,False,False,True,False,False,False
160,6741,False,False,False,False,False,False,False
161,6258,False,False,False,False,False,False,True
162,6804,False,False,False,False,False,False,False
163,2447,False,False,False,False,False,False,False
164,3003,False,False,False,True,False,False,False
165,3424,False,False,False,False,False,False,False
166,6372,False,False,False,False,False,False,False
167,6577,False,False,False,False,False,False,False
168,3566,False,False,False,False,False,False,False
169,6933,False,False,False,True,False,False,False
170,3889,False,False,False,True,False,False,False
171,107,False,False,False,False,True,False,False
172,9013,False,False,False,False,False,False,False
173,3773,False,False,False,False,False,False,False
174,10350,False,False,False,False,False,False,False
175,694,False,False,False,False,False,False,False
176,304,False,False,False,False,False,False,False
177,9651,False,False,False,False,False,False,False
178,9102,False,False,False,False,False,False,False
179,4783,False,False,False,False,False,False,False
180,6095,False,False,False,False,False,False,False
181,5020,False,False,False,True,False,False,False
182,9974,False,False,False,False,False,False,False
183,7454,False,False,False,False,False,False,False
184,9252,False,False,False,True,False,False,False
185,3680,False,False,False,False,False,False,False
186,3060,False,False,False,True,False,False,False
187,8894,False,False,False,False,False,False,False
188,6657,False,False,False,False,False,False,False
189,4978,False,False,False,False,False,False,False
190,8289,False,False,False,False,False,False,False
191,6524,False,False,False,False,True,False,False
192,8955,False,False,False,True,False,False,False
193,2108,False,False,False,False,False,False,False
194,6782,False,False,False,False,False,False,False
195,2626,False,False,False,False,False,False,False
196,9170,False,False,False,False,False,False,False
197,9372,False,False,False,False,False,False,False
198,2152,False,False,False,False,False,False,False
199,937,False,False,False,False,False,False,True
200,8101,False,False,False,False,False,False,False
201,5365,False,False,False,False,False,False,False
202,8278,False,False,False,False,False,False,False
203,9532,False,False,False,False,False,False,False
204,1486,False,False,False,False,False,False,False
205,6398,False,False,False,True,False,False,False
206,967,False,False,False,False,False,False,False
207,533,False,False,False,False,False,False,False
208,8814,False,False,False,False,False,False,False
209,3123,False,False,False,True,False,False,False
210,9425,False,False,False,False,False,False,True
211,7888,False,False,False,False,False,False,False
212,900,False,False,False,False,False,False,False
213,4439,False,False,False,False,False,False,False
214,5357,False,False,False,False,False,False,False
215,303,False,False,False,True,False,False,False
216,9246,False,False,False,False,False,False,False
217,7613,False,False,False,False,False,False,False
218,5231,False,False,False,False,False,False,False
219,10528,False,False,False,False,False,False,False
220,8708,False,False,False,False,False,False,False
221,5399,False,False,False,False,False,False,False
222,10483,False,True,False,False,False,False,True
223,2239,False,False,False,False,False,False,False
224,7666,False,False,False,False,False,False,False
225,5950,False,False,False,False,False,False,False
226,487,True,False,False,False,False,False,False
227,1732,False,False,False,False,False,False,False
228,3463,False,False,False,True,False,False,False
229,3895,False,False,False,False,False,False,False
230,608,False,False,False,False,False,False,False
231,8449,False,False,False,True,False,False,False
232,4233,False,False,False,False,False,False,False
233,1432,False,False,False,False,False,False,True
234,4265,False,False,False,False,False,False,False
235,1793,False,False,False,False,False,False,False
236,10747,False,False,False,False,False,False,False
237,10772,False,False,False,False,False,False,False
238,3059,False,False,False,False,False,False,False
239,6444,False,False,False,False,False,False,False
240,6661,False,False,False,False,False,False,False
241,8077,False,False,False,False,False,False,False
242,747,False,False,False,False,False,False,False
243,9684,False,False,False,False,False,False,False
244,8439,False,False,False,False,False,False,False
245,5204,False,False,False,False,False,False,False
246,6137,False,False,False,True,False,False,False
247,8745,False,False,False,False,False,False,False
248,8556,False,False,False,True,False,False,False
249,9011,False,False,False,False,False,False,False
250,3210,False,False,False,False,False,False,False
251,9500,False,False,False,False,False,False,False
252,6492,False,False,False,False,False,False,False
253,8735,False,False,False,False,False,False,False
254,4639,False,False,False,False,False,False,False
255,5426,False,False,False,False,False,False,False
256,5464,False,False,False,False,False,False,False
257,4387,False,False,False,False,False,False,False
258,10361,False,False,False,False,False,False,True
259,5216,False,False,False,False,False,False,False
260,3501,False,False,False,False,False,False,False
261,6186,False,False,False,False,False,False,False
262,6366,False,False,False,False,False,False,False
263,8481,False,False,False,False,False,False,False
264,774,False,False,False,True,False,False,False
265,9186,False,False,False,False,False,False,False
266,5649,False,False,False,False,False,False,False
267,7565,False,False,False,False,False,False,True
268,9934,False,False,False,False,False,False,False
269,9349,False,False,False,False,False,True,False
270,1710,False,False,False,False,False,False,False
271,6351,False,False,False,False,False,False,False
272,8086,False,False,False,False,False,False,False
273,5155,False,False,False,False,False,False,False
274,7047,False,False,False,False,False,False,False
275,9016,False,False,False,False,False,False,False
276,4219,False,False,False,False,False,False,False
277,592,False,False,False,False,False,False,False
278,6751,False,False,False,False,False,False,False
279,2124,False,False,False,False,False,False,False
280,39,False,False,False,False,False,False,False
281,3353,False,False,False,False,False,False,False
282,1145,False,False,False,True,False,False,False
283,10518,False,False,False,False,False,False,False
284,1147,False,False,False,False,False,False,False
285,10285,False,False,False,False,False,False,True
286,10244,False,False,False,False,False,False,False
287,7553,False,False,False,False,False,False,False
288,6951,False,False,False,False,False,False,False
289,9391,False,False,False,False,False,False,False
290,8650,False,False,False,True,False,False,False
291,3749,False,False,False,False,False,False,False
292,6345,False,False,False,False,False,False,False
293,5680,False,False,False,False,False,False,False
294,5852,False,False,False,False,False,True,False
295,2826,False,False,False,False,False,False,False
296,7328,False,False,False,False,False,False,False
297,8039,False,False,False,True,False,False,False
298,5740,False,False,False,False,False,False,False
299,6495,False,False,False,False,False,False,False
300,9103,False,False,False,True,False,False,False
301,2620,False,False,False,False,False,False,False
302,8563,False,False,False,False,False,False,False
303,6794,False,False,False,False,False,False,False
304,5805,False,False,False,False,False,False,False
305,5492,False,False,False,False,False,False,False
306,8268,False,False,False,False,False,False,False
307,1494,False,False,False,False,False,False,False
308,2122,False,False,False,False,False,False,False
309,9629,False,False,False,False,False,False,False
310,7743,False,False,False,False,False,False,False
311,10463,False,False,False,False,False,False,True
312,700,False,False,False,True,False,False,False
313,8027,False,False,False,False,False,False,False
314,6734,False,False,False,False,False,False,False
315,9258,False,False,False,False,False,False,False
316,4194,False,False,False,False,False,False,False
317,7194,False,False,False,False,False,False,False
318,5065,False,False,False,False,False,False,False
319,10375,False,False,False,False,False,False,False
320,9008,False,False,False,True,False,False,False
321,4574,False,False,False,True,False,False,False
322,2517,False,False,False,False,False,False,False
323,4999,False,False,False,True,False,False,False
324,2992,False,False,False,True,False,False,False
325,4224,False,False,False,False,False,False,False
326,14,False,False,False,False,False,False,False
327,8578,False,False,False,False,False,False,False
328,6326,False,False,False,False,False,False,False
329,7255,False,False,False,False,False,False,False
330,7013,False,False,False,False,True,False,False
331,8747,False,False,False,True,False,False,False
332,4058,False,False,False,True,False,False,False
333,9185,False,False,False,False,False,False,False
334,2523,False,False,False,True,False,False,False
335,7635,False,False,False,False,False,False,True
336,8603,False,False,False,False,False,False,False
337,2199,False,False,False,False,False,False,False
338,1579,False,False,False,False,False,False,False
339,9947,False,False,False,False,False,False,False
340,2514,False,False,False,False,False,True,False
341,8085,False,False,False,False,False,False,False
342,10744,False,False,False,False,False,False,False
343,5250,False,False,False,False,False,False,False
344,5556,False,False,False,False,False,False,False
345,852,False,False,False,False,False,False,False
346,265,False,False,False,False,False,False,False
347,5890,False,False,False,False,False,False,False
348,4376,False,False,False,False,False,False,False
349,483,False,False,False,False,False,False,False
350,6902,False,False,False,False,False,False,False
351,4864,False,False,False,False,False,False,False
352,1536,False,False,False,False,False,False,False
353,6034,False,False,False,False,False,False,False
354,9290,False,False,False,False,False,False,False
355,2865,False,False,False,False,False,False,False
356,883,False,False,False,False,False,False,True
357,7524,False,False,False,False,False,False,False
358,10109,False,False,False,False,False,False,False
359,10337,False,False,False,False,False,False,True
360,3761,False,False,False,True,False,False,False
361,5872,False,False,False,False,False,False,False
362,5747,False,False,False,False,False,False,False
363,6152,False,False,False,False,False,False,False
364,4766,False,False,False,True,False,False,False
365,1952,False,False,False,False,False,False,False
366,4137,False,False,False,False,False,False,False
367,2325,False,False,False,False,False,False,False
368,2742,False,False,False,False,False,False,False
369,5999,False,False,False,False,False,False,False
370,1488,False,False,False,False,False,False,False
371,562,False,False,False,False,False,False,False
372,1330,False,False,False,False,False,False,False
373,5737,False,False,False,False,False,False,False
374,6637,False,False,False,False,False,False,False
375,7670,False,False,False,False,False,False,False
376,2753,False,False,False,False,False,False,False
377,3703,False,False,False,True,False,False,False
378,839,False,False,False,False,False,False,False
379,6130,False,False,False,False,False,False,False
380,7636,False,False,False,False,False,False,False
381,7382,False,False,False,False,False,False,False
382,5129,False,False,False,False,False,False,False
383,9270,False,False,False,False,False,False,False
384,9363,False,False,False,False,False,False,False
385,8368,False,False,False,False,False,False,False
386,8275,False,True,False,False,False,False,False
387,8403,False,False,False,True,True,False,False
388,1369,False,False,False,False,False,False,False
389,3272,False,False,False,False,False,False,False
390,795,False,False,False,False,False,False,False
391,1731,False,False,False,False,False,False,False
392,9878,False,False,False,False,False,False,False
393,1780,False,False,False,False,False,False,False
394,6460,False,False,False,False,False,False,False
395,5972,False,False,False,False,False,False,False
396,3973,False,False,False,True,False,False,False
397,5551,False,False,False,False,False,False,False
398,4704,False,False,False,False,False,False,False
399,1768,False,False,False,False,False,False,False
400,1068,False,False,False,False,False,False,False
401,2820,False,False,False,True,False,False,False
402,7105,False,False,False,False,False,False,False
403,5936,False,False,False,False,False,False,False
404,3508,False,False,False,True,False,False,False
405,7403,False,False,False,False,True,False,False
406,2613,False,False,False,False,False,False,False
407,2894,False,False,False,False,False,False,False
408,3772,False,False,False,True,False,False,False
409,7634,False,False,False,False,False,False,False
410,5580,False,False,False,False,False,False,False
411,2018,False,False,False,False,False,False,False
412,6811,False,False,False,False,False,False,True
413,8916,False,False,False,False,False,False,False
414,4787,False,False,False,False,False,False,False
415,9745,False,False,False,False,False,False,False
416,6560,False,False,False,False,False,False,False
417,2507,False,False,False,False,False,False,False
418,1576,False,False,False,False,False,False,False
419,4428,False,False,False,False,False,False,False
420,9866,False,False,False,False,False,False,False
421,668,False,False,False,False,False,False,False
422,3857,False,False,False,True,False,False,False
423,5566,False,False,False,False,True,False,False
424,8178,False,False,False,False,False,False,False
425,346,False,False,False,False,False,False,False
426,5372,False,False,False,False,False,False,False
427,8396,False,False,False,False,False,False,False
428,866,False,False,False,False,False,False,False
429,3739,False,False,False,True,False,False,False
430,2328,False,False,False,False,False,False,False
431,9000,False,False,False,True,False,False,False
432,4580,False,False,False,True,False,False,False
433,399,False,False,False,False,False,False,False
434,1660,False,False,False,False,False,False,False
435,3485,False,False,False,False,False,False,False
436,2908,False,False,False,True,False,False,False
437,7520,False,False,False,False,False,False,False
438,367,False,False,False,False,False,False,False
439,318,False,False,False,False,False,False,True
440,10514,False,False,False,False,False,False,False
441,4381,False,False,False,False,False,False,False
442,8030,False,False,False,False,False,False,False
443,6576,False,False,False,False,False,False,False
444,424,False,False,False,False,False,False,False
445,7739,False,False,False,False,False,False,False
446,3132,False,False,False,True,False,False,False
447,2982,False,False,False,False,False,False,False
448,9197,False,False,False,False,False,False,False
449,2709,False,False,False,False,False,False,False
450,3187,False,False,False,True,False,False,False
451,7465,False,False,False,False,True,False,False
452,8675,False,False,False,False,False,False,False
453,4899,False,False,False,False,False,False,False
454,9772,False,False,False,False,False,False,False
455,3884,False,False,False,False,False,False,False
456,8764,False,False,False,False,True,False,False
457,6422,False,False,False,False,False,False,False
458,6220,False,False,False,False,False,False,False
459,1022,False,False,False,False,False,False,False
460,8473,False,False,False,False,False,False,False
461,4353,False,False,False,False,False,False,False
462,7768,False,False,False,False,False,False,False
463,135,False,False,False,False,True,False,False
464,2948,False,False,False,False,False,False,False
465,4791,False,False,False,False,False,False,False
466,9505,False,False,False,False,False,False,False
467,10287,False,False,False,False,False,False,True
468,3909,False,False,False,True,False,False,False
469,7262,False,False,False,False,True,False,False
470,6407,False,False,False,False,False,False,False
471,3284,True,False,False,True,False,False,False
472,3400,False,False,False,True,False,False,False
473,4023,False,False,False,False,False,False,False
474,1408,False,False,False,False,False,False,True
475,2771,False,False,False,False,False,False,False
476,7669,False,False,False,False,False,False,False
477,1775,False,False,False,False,False,False,False
478,9060,False,False,False,True,False,False,False
479,510,False,False,False,False,False,False,False
480,5553,False,False,False,False,False,False,False
481,3887,False,False,False,True,False,False,False
482,4605,False,False,False,False,False,False,False
483,5196,False,False,False,False,False,False,False
484,8761,False,False,False,False,False,False,False
485,10662,False,False,False,False,False,False,False
486,765,False,False,False,False,False,False,False
487,5030,False,False,False,True,False,False,False
488,3413,False,False,False,False,False,False,False
489,8365,False,False,False,True,False,False,False
490,4582,False,False,False,False,False,False,False
491,9393,False,False,False,False,False,False,False
492,3834,False,False,False,False,False,False,False
493,9177,False,False,False,False,False,True,False
494,9804,False,False,False,True,False,False,False
495,10392,False,False,False,False,False,False,True
496,8693,False,False,False,False,False,False,False
497,6341,False,False,False,False,True,False,False
498,3782,False,False,False,True,False,False,False
499,6301,False,False,False,False,False,False,False
500,5928,False,False,False,False,False,False,False
501,8011,False,False,False,False,False,True,False
502,7263,False,False,False,False,False,False,False
503,1935,False,False,False,False,False,False,False
504,6307,False,False,False,False,False,False,False
505,10751,False,False,False,False,False,False,False
506,1595,True,False,False,False,False,False,False
507,10004,False,False,False,False,False,False,False
508,1284,False,False,False,False,False,False,False
509,9463,False,False,False,False,False,False,False
510,4373,False,False,False,False,False,False,False
511,9788,False,False,False,False,False,False,False
512,2769,False,False,False,False,False,False,False
513,6523,False,False,False,False,False,False,False
514,7823,False,False,False,False,False,False,False
515,7085,False,False,False,False,False,False,False
516,4417,False,False,False,False,False,False,False
517,2020,False,False,False,True,False,False,False
518,3006,False,False,False,True,False,False,False
519,8694,False,False,False,False,False,False,False
520,1123,False,False,False,False,False,False,False
521,1010,False,False,False,False,False,False,False
522,2487,False,False,True,False,False,False,False
523,8812,False,False,False,False,False,False,False
524,1713,False,False,False,False,False,False,False
525,3,False,False,False,True,False,False,False
526,5218,False,False,False,False,False,False,False
527,9319,False,False,False,False,False,False,False
528,5979,False,False,False,False,False,False,False
529,3245,False,False,False,True,False,False,False
530,9454,False,False,False,False,False,False,False
531,439,False,False,False,False,False,False,False
532,4254,False,False,False,True,False,False,False
533,5195,False,False,False,True,False,False,False
534,8441,False,False,False,False,False,False,False
535,4977,False,False,False,True,False,False,False
536,1758,False,False,False,False,False,False,False
537,4852,False,False,False,True,False,False,False
538,8400,False,False,False,False,False,False,False
539,88,False,False,False,False,False,False,False
540,10596,False,False,False,False,False,False,False
541,6562,False,False,False,False,False,False,False
542,543,False,False,False,False,False,False,False
543,9913,False,False,False,False,False,False,False
544,1393,False,False,False,False,False,False,False
545,1803,False,False,False,False,False,False,False
546,3615,False,False,False,True,False,False,False
547,5874,False,False,False,False,False,False,False
548,1194,False,False,False,False,False,False,False
549,3333,False,False,False,True,False,False,False
550,8750,False,False,False,False,False,False,False
551,8892,True,False,False,False,False,False,False
552,1981,False,False,False,False,False,False,False
553,3017,False,False,False,False,False,False,False
554,3541,False,False,False,True,False,False,False
555,3016,False,False,False,False,False,False,False
556,6821,False,False,False,False,False,False,False
557,6613,False,False,False,False,False,False,False
558,6533,False,False,False,False,False,False,False
559,9072,False,False,False,False,False,False,False
560,4845,False,False,False,True,False,False,False
561,407,False,False,False,False,False,False,False
562,9413,False,False,False,False,False,False,False
563,914,False,False,False,True,False,False,False
564,8959,False,False,False,False,False,False,False
565,10030,False,False,False,False,False,False,True
566,10508,False,False,False,False,False,False,False
567,8349,False,False,False,False,True,False,False
568,8834,False,False,False,False,False,False,False
569,9403,False,False,False,False,False,False,False
570,7702,False,False,False,False,False,False,False
571,7972,False,False,False,False,False,True,False
572,4731,False,False,False,True,False,False,False
573,3557,False,False,False,False,False,False,False
574,4705,False,False,False,False,False,False,False
575,5504,False,False,False,False,False,False,False
576,4281,False,False,False,True,False,False,False
577,10717,False,False,False,False,False,False,False
578,3206,False,False,False,False,False,False,False
579,5411,False,False,False,False,False,False,False
580,2564,False,False,False,False,False,False,True
581,7633,False,False,False,False,False,False,False
582,9196,False,False,False,False,False,False,False
583,2317,False,False,False,False,True,False,False
584,6110,False,False,False,False,False,False,False
585,4952,False,False,False,False,False,False,False
586,1511,True,False,False,False,False,False,False
587,2098,False,False,False,False,False,False,False
588,10595,False,False,False,False,True,False,False
589,3910,False,False,False,True,False,False,False
590,8024,False,False,False,False,True,False,False
591,131,False,False,False,False,False,False,False
592,7283,False,False,False,False,False,False,False
593,7563,False,False,False,False,False,False,False
594,3379,False,False,False,False,False,False,False
595,96,False,False,False,False,True,False,False
596,4060,False,False,False,True,False,False,False
597,311,False,False,False,True,False,False,False
598,5703,False,False,False,False,False,False,False
599,3071,False,False,False,True,False,False,False
600,469,False,False,False,False,False,False,False
601,7386,False,False,False,False,False,False,False
602,9338,False,False,False,False,False,False,False
603,9134,False,False,False,False,False,False,False
604,119,False,False,False,False,False,False,False
605,9462,False,False,False,False,False,False,False
606,8893,False,False,False,False,False,False,False
607,5761,False,False,False,False,False,False,False
608,9377,False,False,False,False,False,False,False
609,1087,False,False,False,False,False,False,False
610,4170,False,False,False,True,False,False,False
611,7935,False,False,False,False,False,False,False
612,10474,False,False,False,False,False,False,False
613,3328,False,False,False,False,False,False,False
614,8180,False,False,False,True,False,False,False
615,1594,False,False,False,False,False,False,False
616,1984,False,False,False,False,False,False,False
617,7065,False,False,False,False,True,False,False
618,563,False,False,False,False,False,False,False
619,6319,False,False,False,False,False,False,False
620,9713,False,False,False,False,False,False,False
621,6017,False,False,False,False,False,False,False
622,7995,False,False,False,False,False,False,False
623,4342,False,False,False,False,False,False,False
624,7716,False,False,False,False,False,False,False
625,3608,False,False,False,True,False,False,False
626,3012,False,False,False,True,False,False,False
627,4504,False,False,False,False,False,False,False
628,3688,False,False,False,True,False,False,False
629,7903,False,False,False,False,False,False,False
630,5144,False,False,False,False,False,False,False
631,5044,False,False,False,False,False,False,False
632,6311,False,False,False,False,False,False,False
633,8778,False,False,False,False,False,False,False
634,333,False,False,False,False,False,False,False
635,5692,False,False,False,False,False,False,False
636,5452,False,False,False,False,False,False,False
637,3393,False,False,False,False,False,False,False
638,6765,False,False,False,False,False,False,False
639,450,False,False,False,False,False,False,False
640,7278,False,False,False,False,True,False,False
641,2075,False,False,False,False,False,False,False
642,1160,False,False,False,False,False,False,False
643,293,False,False,False,False,False,False,False
644,5489,True,False,False,True,False,False,False
645,5958,False,False,False,True,False,False,False
646,3090,False,False,False,False,False,False,False
647,960,False,False,False,False,False,False,False
648,8305,False,False,False,False,False,False,False
649,4969,False,False,False,True,False,False,False
650,2638,False,False,False,False,False,False,False
651,4385,False,False,False,True,False,False,False
652,6802,False,False,False,False,False,False,False
653,4338,False,False,False,False,False,False,False
654,2304,False,False,False,False,False,False,False
655,8379,False,False,False,False,False,False,False
656,7840,False,False,False,False,False,False,False
657,5328,False,False,False,False,False,False,False
658,4421,False,False,False,True,False,False,False
659,2455,False,False,False,False,False,False,False
660,7821,False,False,False,False,False,False,False
661,9123,False,False,False,False,True,False,False
662,4900,False,False,False,False,False,False,False
663,7313,False,False,False,False,False,False,False
664,5337,False,False,False,False,False,False,False
665,2919,False,False,False,False,False,False,False
666,9497,False,False,False,False,False,False,False
667,10137,False,False,False,False,False,False,False
668,4983,False,False,False,False,False,False,False
669,5532,False,False,False,False,False,False,False
670,6030,True,False,False,False,False,False,False
671,3312,False,False,False,True,False,False,False
672,4629,False,False,False,True,False,False,False
673,500,False,False,False,False,False,False,False
674,5654,False,False,False,False,False,False,False
675,5478,False,False,False,False,False,False,False
676,5087,True,False,False,True,False,False,False
677,9470,False,False,False,False,False,False,False
678,6952,False,False,False,False,False,False,False
679,9746,False,False,False,False,False,False,False
680,10333,False,False,False,False,False,False,False
681,259,False,False,False,False,False,False,False
682,2484,False,False,False,False,False,False,False
683,9898,False,False,False,False,False,False,False
684,8023,False,False,False,False,False,False,False
685,9303,False,False,False,True,False,False,False
686,8298,False,False,False,True,False,False,False
687,9515,False,False,False,False,False,False,False
688,3952,False,False,False,True,False,False,False
689,7838,False,False,False,False,False,False,False
690,9095,False,False,False,True,False,False,False
691,4561,False,False,False,False,False,False,False
692,9840,False,False,False,False,False,False,True
693,5769,False,False,False,False,False,False,False
694,6156,False,False,False,False,False,False,False
695,3457,False,False,False,False,False,False,True
696,1703,False,False,False,False,False,False,False
697,10698,False,False,False,False,False,False,False
698,1671,False,False,False,False,False,False,False
699,4100,False,False,False,False,False,False,False
700,6742,False,False,False,False,False,False,False
701,2519,False,False,False,False,False,False,False
702,2252,False,False,False,False,False,False,False
703,9725,False,False,False,True,False,False,False
704,10105,False,False,False,False,False,False,False
705,9027,False,False,False,False,False,False,False
706,2453,False,False,False,False,False,False,True
707,2254,False,False,False,False,False,False,False
708,9327,False,False,False,False,False,False,False
709,1434,False,False,False,False,False,False,False
710,10459,False,False,False,False,False,False,False
711,10588,False,False,False,False,False,False,False
712,2930,False,False,False,False,False,False,False
713,7763,False,False,False,False,False,False,False
714,8014,False,False,False,False,False,False,False
715,8324,False,False,False,False,False,False,False
716,4132,False,False,False,False,False,True,False
717,5981,False,False,False,False,False,False,False
718,9999,False,False,False,False,False,False,False
719,9379,False,False,False,False,False,False,False
720,5688,False,False,False,False,False,False,False
721,9638,False,False,False,False,False,False,False
722,1206,False,False,False,False,False,False,False
723,3418,False,False,False,True,False,False,False
724,9545,False,False,False,False,False,False,False
725,5884,False,False,False,False,False,False,False
726,1183,False,False,False,False,False,False,False
727,6913,False,False,False,False,False,False,False
728,8594,False,False,False,False,False,True,False
729,9886,False,False,False,False,False,False,False
730,2425,False,False,False,False,False,False,True
731,3130,False,False,False,True,False,False,False
732,4111,False,False,False,True,False,False,False
733,10372,False,False,False,False,False,False,False
734,3746,False,False,False,True,False,False,False
735,7322,True,False,False,False,False,False,False
